,index,dim_date_id,dim_shop_id,dim_goods_id,week,t_qty_pre,t_qty_pre_s,t_qty_pre_sea,t_qty_low,t_qty_high,qtl_low,qtl_high,cv1,cv2,lr_b,lr_r,lr_b6,lr_r6,t_amount_df1,t_qty_df1,t_amount_df2,t_qty_df2,t_amount_df3,t_qty_df3,t_amount_df4,t_qty_df4,t_amount_df5,t_qty_df5,t_amount_df6,t_qty_df6,t_amount_df7,t_qty_df7,qty_m_p1,amount_m_p1,qty_m_p2,amount_m_p2,qty_m_p3,amount_m_p3,amount_avg3,qty_avg3,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10,price_avg3,price_m_p1,price_m_p2,price_m_p3,member_id_sum_df1,member_rate_df1,datetype_df1,is_proflag_df1,is_discount_df1,uv_goods_df1,uv_rate_df1,t_qty,member_id_sum,member_rate,datetype,is_proflag,is_discount,uv_goods,uv_rate,price_df1,dim_shop_id_label,week_2,week_3,week_4,week_5,week_6,week_7,shop_goods
2242,2242,2018-09-12,9L07,905936,3,21.291031897585626,15.988094675930009,5.540816326530613,5.538458160122234,37.043605635049026,9.7,48.09999999999998,-0.28330280830280835,0.7083333333333334,0.08291316526610648,0.005,0.0571428571428525,0.0,159.58000000000004,23.0,95.20000000000002,8.0,178.50000000000003,15.0,285.6,24.0,249.90000000000006,21.0,154.70000000000005,13.0,176.40000000000003,16.0,25.071428571428573,261.77,21.785714285714285,235.7357142857143,23.233333333333334,246.8473333333333,144.4266666666667,15.333333333333334,1.5333333333333334,0.9173789173789173,1.5,1.4194021265057084,0.8492149474820477,1.388545558538193,0.9375,0.6115859449192782,1.1508196721311477,0.9376921500307439,9.41913043478261,10.44096866096866,10.82065573770492,10.62470588235294,17.0,0.012168933428775949,0.0,1.0,1.0,170.0,0.1352941176470588,10.0,10.0,0.0063613231552162855,0,1,0,83.0,0.12048192771084335,6.9382608695652195,12,0,1,0,0,0,0,9L07-905936
2396,2396,2018-09-13,9L07,905936,4,8.940499160018069,14.42857150338202,-6.180612244897961,0.0,24.8802989502706,9.7,48.09999999999998,-0.09127382279556193,1.0,-0.007282913165266053,0.0,-1.8571428571428619,0.257,119.00000000000004,10.0,159.58000000000004,23.0,95.20000000000002,8.0,178.50000000000003,15.0,285.6,24.0,249.90000000000006,21.0,154.70000000000005,13.0,23.214285714285715,242.24142857142857,23.571428571428573,254.4928571428572,22.7,240.28233333333338,124.59333333333336,13.666666666666666,1.25,0.43076923076923074,0.7317073170731707,1.1175623950022586,0.38512919458539374,0.6541828653671758,0.6153846153846154,0.5887179487179487,0.9848484848484849,1.038388923851479,9.11658536585366,10.435015384615385,10.796666666666669,10.585124816446404,10.0,0.0063613231552162855,0.0,1.0,0.0,83.0,0.12048192771084335,14.0,11.0,0.007601935038009675,0,1,1,252.0,0.05952380952380953,11.900000000000004,12,0,0,1,0,0,0,9L07-905936
2548,2548,2018-09-14,9L07,905936,5,10.990848284860446,14.857142857142858,-4.472448979591838,0.0,26.58669612533886,9.7,48.09999999999998,-0.2694789510006901,1.1666666666666667,-0.07647058823529385,0.004,-1.2857142857142847,0.135,124.39,15.0,119.00000000000004,10.0,159.58000000000004,23.0,95.20000000000002,8.0,178.50000000000003,15.0,285.6,24.0,249.90000000000006,21.0,22.0,226.21214285714285,24.857142857142858,267.6071428571429,23.7,248.119,134.32333333333335,16.0,0.6521739130434783,0.6818181818181818,0.9375,0.47786296890697594,0.4995840129482021,0.6869280178037779,1.0952380952380953,0.7272727272727273,0.8850574712643678,1.0488245931283906,8.395208333333334,10.282370129870129,10.76580459770115,10.46915611814346,11.0,0.007601935038009675,0.0,1.0,1.0,252.0,0.05952380952380953,38.0,35.0,0.01726689689195856,0,1,1,149.0,0.2751677852348993,8.292666666666667,12,0,0,0,1,0,0,9L07-905936
2692,2692,2018-09-15,9L07,905936,6,25.839634682698303,17.57142857142857,7.864285714285715,10.172036528749429,41.507232836647184,9.7,48.09999999999998,-0.2774154589371981,1.1666666666666667,-0.016246498599439833,0.0,3.942857142857157,0.371,364.9,41.0,124.39,15.0,119.00000000000004,10.0,159.58000000000004,23.0,95.20000000000002,8.0,178.50000000000003,15.0,285.6,24.0,24.214285714285715,244.4907142857143,24.571428571428573,263.5928571428572,26.5,271.6856666666667,202.76333333333332,22.0,4.1,1.6932153392330382,1.8636363636363635,2.5839634682698303,1.067123556217629,1.1745288492135593,0.4166666666666667,0.9085545722713864,0.9854651162790697,0.9272237196765499,9.216515151515152,10.096961651917404,10.72761627906977,10.2522893081761,35.0,0.01726689689195856,0.0,1.0,1.0,149.0,0.2751677852348993,92.0,88.0,0.033460076045627375,1,1,1,481.0,0.20374220374220373,8.899999999999999,12,0,0,0,0,1,0,9L07-905936
2870,2870,2018-09-16,9L07,905936,7,29.041634098827338,105.16666666666669,2.431632653061223,9.759783586084335,48.323484611570336,9.7,53.3,-0.19255773535996235,0.951219512195122,0.3291316526610641,0.036000000000000004,14.542857142857184,0.631,872.1999999999997,98.0,364.9,41.0,124.39,15.0,119.00000000000004,10.0,159.58000000000004,23.0,95.20000000000002,8.0,178.50000000000003,15.0,27.071428571428573,265.77642857142854,27.357142857142858,288.59285714285716,27.833333333333332,282.19899999999996,453.8299999999999,51.333333333333336,6.533333333333333,3.620052770448549,1.909090909090909,1.9361089399218225,1.0727780405899279,0.5657461188083247,1.0,1.8962181178540019,0.989556135770235,0.9828913601368692,8.840844155844154,9.817598944591028,10.549086161879895,10.138886227544909,88.0,0.033460076045627375,1.0,1.0,1.0,481.0,0.20374220374220373,47.0,47.0,0.019333607568901685,1,1,1,299.0,0.1806020066889632,8.899999999999997,12,0,0,0,0,0,1,9L07-905936
3060,3060,2018-09-17,9L07,905936,1,24.639906746466192,32.428571428571416,-11.4,5.9199842483452265,43.35982924458715,9.7,53.3,0.004381040150241765,0.7142857142857143,0.4991596638655459,0.077,12.714285714285754,0.526,480.60000000000014,54.0,872.1999999999997,98.0,364.9,41.0,124.39,15.0,119.00000000000004,10.0,159.58000000000004,23.0,95.20000000000002,8.0,27.428571428571427,265.45500000000004,29.285714285714285,304.7,27.866666666666667,281.3256666666666,572.5666666666666,64.33333333333333,1.3170731707317074,1.96875,0.839378238341969,0.6009733352796632,0.8983299334649133,0.38300373181035535,5.125,2.345486111111111,0.9365853658536585,1.0509227614490773,8.9,9.678046875000001,10.404390243902439,10.095418660287079,47.0,0.019333607568901685,1.0,1.0,1.0,299.0,0.1806020066889632,20.0,20.0,0.011318619128466326,0,1,0,344.0,0.05813953488372092,8.900000000000002,12,0,0,0,0,0,0,9L07-905936
3245,3245,2018-09-18,9L07,905936,2,28.64819211543859,34.285714285714285,-6.441836734693878,9.964920226286315,47.331464004590856,9.7,53.3,0.014411904347772637,1.030612244897959,0.4408963585434171,0.06,6.4,0.131,198.00000000000009,20.0,480.60000000000014,54.0,872.1999999999997,98.0,364.9,41.0,124.39,15.0,119.00000000000004,10.0,159.58000000000004,23.0,27.285714285714285,264.04071428571433,30.142857142857142,311.8285714285715,28.0,281.2523333333333,516.9333333333333,57.333333333333336,0.20408163265306123,0.7329842931937173,0.3488372093023256,0.29232849097386315,1.049933742450629,0.4996777694553242,4.260869565217392,2.1012216404886566,0.9052132701421801,1.0765306122448979,9.01627906976744,9.676884816753928,10.345023696682466,10.044726190476188,20.0,0.011318619128466326,0.0,1.0,0.0,344.0,0.05813953488372092,25.0,24.0,0.012875536480686695,0,1,0,382.0,0.06806282722513089,9.900000000000004,12,1,0,0,0,0,0,9L07-905936
3432,3432,2018-09-19,9L07,905936,3,37.664409427563626,35.142857142857146,3.5897959183673467,18.95150753504529,56.377311320081965,9.7,53.3,-0.3776170811594737,1.030612244897959,0.4619047619047616,0.066,-1.4857142857143204,0.008,257.4000000000001,26.0,198.00000000000009,20.0,480.60000000000014,54.0,872.1999999999997,98.0,364.9,41.0,124.39,15.0,119.00000000000004,10.0,27.428571428571427,265.45500000000004,30.857142857142858,317.4142857142857,28.466666666666665,285.239,312.0000000000001,33.333333333333336,0.48148148148148145,0.9479166666666667,0.7799999999999999,0.6974890634734005,1.3731815937132572,1.1299322828269087,5.4,1.215277777777778,0.8888888888888888,1.0839745734359318,9.360000000000003,9.678046875000001,10.286574074074073,10.020105386416862,24.0,0.012875536480686695,0.0,1.0,0.0,382.0,0.06806282722513089,21.0,20.0,0.00975609756097561,0,1,0,426.0,0.056338028169014086,9.900000000000004,12,0,1,0,0,0,0,9L07-905936
3620,3620,2018-09-20,9L07,905936,4,28.4570280005059,36.714285714285715,-7.518367346938776,9.446795621884617,47.467260379127175,9.7,53.3,-0.1224888760312686,1.030612244897959,0.37394957983193255,0.044000000000000004,-9.57142857142862,0.371,237.60000000000005,24.0,257.4000000000001,26.0,198.00000000000009,20.0,480.60000000000014,54.0,872.1999999999997,98.0,364.9,41.0,124.39,15.0,28.0,269.8264285714286,28.0,294.4142857142857,29.0,289.8256666666667,231.00000000000009,23.333333333333332,1.2,0.8571428571428571,1.0285714285714287,1.422851400025295,1.0163224285894965,1.2195869143073959,1.3333333333333333,0.8333333333333333,1.0,0.9655172413793104,9.900000000000004,9.636658163265308,10.514795918367346,9.993988505747128,20.0,0.00975609756097561,0.0,1.0,0.0,426.0,0.056338028169014086,27.0,27.0,0.012887828162291169,0,1,0,398.0,0.07537688442211055,9.900000000000002,12,0,0,1,0,0,0,9L07-905936
3811,3811,2018-09-21,9L07,905936,5,38.82657119544378,38.57142857142857,0.9173469387755088,19.77824941382136,57.87489297706621,9.7,53.3,-0.19193332047571304,1.030612244897959,0.3260504201680671,0.034,-12.114285714285714,0.5720000000000001,296.99999999999994,30.0,237.60000000000005,24.0,257.4000000000001,26.0,198.00000000000009,20.0,480.60000000000014,54.0,872.1999999999997,98.0,364.9,41.0,29.214285714285715,279.99071428571426,28.142857142857142,296.90000000000003,28.333333333333332,284.44233333333335,264.00000000000006,26.666666666666668,1.1538461538461537,1.0268948655256724,1.125,1.4933296613632225,1.3290268868856063,1.4559964198291417,0.6341463414634146,0.9127954360228199,1.0380710659898478,0.9932773109243698,9.900000000000002,9.58403422982885,10.549746192893402,10.03914117647059,27.0,0.012887828162291169,0.0,1.0,0.0,398.0,0.07537688442211055,33.0,31.0,0.014747859181731684,0,1,0,455.0,0.07912087912087913,9.899999999999999,12,0,0,0,1,0,0,9L07-905936
4000,4000,2018-09-22,9L07,905936,6,60.270451139370095,36.644044226119256,23.887755102040817,41.18608841326365,79.35481386547656,9.7,53.3,-0.2642910440529488,1.030612244897959,0.30224089635854323,0.028999999999999998,-1.7714285714285616,0.073,336.9,36.0,296.99999999999994,30.0,237.60000000000005,24.0,257.4000000000001,26.0,198.00000000000009,20.0,480.60000000000014,54.0,872.1999999999997,98.0,30.285714285714285,286.20500000000004,27.357142857142858,289.8357142857143,29.833333333333332,298.9256666666667,290.49999999999994,30.0,1.5,1.1886792452830188,1.2,2.511268797473754,1.9900620659225976,2.0090150379790033,0.24489795918367346,0.9905660377358491,1.1070496083550914,0.9169992019154031,9.683333333333332,9.450165094339624,10.594516971279374,10.019854748603354,31.0,0.014747859181731684,0.0,1.0,0.0,455.0,0.07912087912087913,48.0,47.0,0.016030013642564803,1,1,0,557.0,0.10053859964093358,9.358333333333333,12,0,0,0,0,1,0,9L07-905936
4199,4199,2018-09-23,9L07,905936,7,36.01889592656439,48.16666666666666,7.1775510204081625,16.876484239811962,55.16130761331682,9.7,53.3,-0.3334520417853751,0.925925925925926,0.3927170868347337,0.047,6.171428571428588,0.7929999999999999,554.3999999999997,56.0,336.9,36.0,296.99999999999994,30.0,237.60000000000005,24.0,257.4000000000001,26.0,198.00000000000009,20.0,480.60000000000014,54.0,32.57142857142857,305.40500000000003,26.857142857142858,286.1,29.9,298.519,396.0999999999999,40.666666666666664,1.8666666666666667,1.719298245614035,1.3770491803278688,1.200629864218813,1.105843295991012,0.8857105555712556,0.5555555555555556,1.2485380116959064,1.2127659574468084,0.8982322025800287,9.740163934426228,9.376469298245615,10.652659574468085,9.983913043478262,47.0,0.016030013642564803,1.0,1.0,0.0,557.0,0.10053859964093358,31.0,30.0,0.011411182959300114,1,1,0,503.0,0.06759443339960239,9.899999999999995,12,0,0,0,0,0,1,9L07-905936
4407,4407,2018-09-24,9L07,905936,1,18.320273586879672,29.285714285714285,-10.617346938775508,0.0,37.309749493051186,9.7,53.3,-0.13812576312576308,0.9642857142857144,0.3831932773109242,0.045,4.057142857142866,0.43200000000000005,336.6,34.0,554.3999999999997,56.0,336.9,36.0,296.99999999999994,30.0,237.60000000000005,24.0,257.4000000000001,26.0,198.00000000000009,20.0,33.92857142857143,316.6978571428572,25.642857142857142,273.9357142857143,30.033333333333335,298.40233333333333,409.2999999999999,42.0,0.9444444444444444,1.0021052631578946,0.8095238095238095,0.5088964885244354,0.5399659583501377,0.4361969901638017,1.8,1.2378947368421052,1.3231197771587744,0.8538132234025685,9.745238095238093,9.334252631578948,10.68272980501393,9.935704772475027,30.0,0.011411182959300114,1.0,1.0,0.0,503.0,0.06759443339960239,33.0,31.0,0.013202725724020445,1,1,0,459.0,0.07625272331154684,9.9,12,0,0,0,0,0,0,9L07-905936
4604,4604,2018-09-25,9L07,905936,2,24.685163574497913,31.142857142857146,-6.562244897959183,5.774484519111084,43.595842629884736,10.0,53.3,0.03736443295266825,0.75,0.31456582633053204,0.031,2.485714285714285,0.185,334.39999999999986,35.0,336.6,34.0,554.3999999999997,56.0,336.9,36.0,296.99999999999994,30.0,237.60000000000005,24.0,257.4000000000001,26.0,35.857142857142854,333.7835714285714,24.857142857142858,265.9428571428571,29.6,292.86233333333337,408.4666666666665,41.666666666666664,0.625,0.9760956175298806,0.8400000000000001,0.44080649240174846,0.6884308566593044,0.5924439257879499,2.1538461538461537,1.1620185922974768,1.4425287356321836,0.8397683397683398,9.803199999999997,9.30870517928287,10.698850574712642,9.893997747747749,31.0,0.013202725724020445,1.0,1.0,0.0,459.0,0.07625272331154684,18.0,18.0,0.00996126175982291,0,1,0,378.0,0.05026455026455026,9.55428571428571,12,1,0,0,0,0,0,9L07-905936
4804,4804,2018-09-26,9L07,905936,3,22.183953762318726,30.142857142857146,-6.986734693877553,3.2596435434787487,41.10826398115871,10.0,53.3,0.003664799253034533,0.75,0.18291316526610646,0.011000000000000001,-2.285714285714304,0.126,182.60000000000005,19.0,334.39999999999986,35.0,336.6,34.0,554.3999999999997,56.0,336.9,36.0,296.99999999999994,30.0,237.60000000000005,24.0,35.57142857142857,335.42785714285714,25.071428571428573,261.77,31.166666666666668,305.319,284.5333333333333,29.333333333333332,0.5588235294117647,0.5341365461847389,0.6477272727272727,0.652469228303492,0.6236452864908879,0.7562711509881385,1.4166666666666667,0.8246318607764391,1.4188034188034186,0.8044308632543927,9.7,9.429698795180723,10.44096866096866,9.796331550802138,18.0,0.00996126175982291,0.0,1.0,0.0,378.0,0.05026455026455026,62.0,60.0,0.030410542321338063,0,1,0,429.0,0.15384615384615385,9.610526315789476,12,0,1,0,0,0,0,9L07-905936
5016,5016,2018-09-27,9L07,905936,4,30.190275976299585,12.523247513765336,-8.011224489795918,11.280661751974408,49.09989020062476,10.0,55.699999999999974,-0.122797189051059,0.75,0.4854341736694676,0.071,1.1428571428571406,0.016,580.8000000000002,66.0,182.60000000000005,19.0,334.39999999999986,35.0,336.6,34.0,554.3999999999997,56.0,336.9,36.0,296.99999999999994,30.0,39.57142857142857,368.4135714285714,23.214285714285715,242.24142857142857,31.866666666666667,310.07899999999995,365.9333333333334,40.0,1.8857142857142857,1.6678700361010832,1.65,0.8625793136085596,0.7629311618559462,0.7547568994074896,1.1666666666666667,1.0108303249097474,1.7046153846153844,0.7284817692767483,9.148333333333335,9.310090252707582,10.435015384615385,9.730512552301253,60.0,0.030410542321338063,0.0,1.0,0.0,429.0,0.15384615384615385,39.0,38.0,0.01707865168539326,0,1,0,259.0,0.1583011583011583,8.800000000000002,12,0,0,1,0,0,0,9L07-905936
5210,5210,2018-09-28,9L07,905936,5,32.427368634640864,28.178572242333217,-3.052040816326532,13.573401009407133,51.281336259874585,10.0,55.699999999999974,-0.03744365369752365,1.0454545454545454,0.4392156862745096,0.059000000000000004,0.14285714285715478,0.0,360.8000000000001,41.0,580.8000000000002,66.0,182.60000000000005,19.0,334.39999999999986,35.0,336.6,34.0,554.3999999999997,56.0,336.9,36.0,41.42857142857143,385.3,22.0,226.21214285714285,31.866666666666667,307.559,374.7333333333335,42.0,2.1578947368421053,0.9896551724137931,0.9761904761904762,1.7067036123495192,0.7827295877327105,0.7720802055866872,0.5277777777777778,1.013793103448276,1.8831168831168832,0.6903765690376569,8.922222222222226,9.300344827586207,10.282370129870129,9.651433054393307,38.0,0.01707865168539326,0.0,1.0,0.0,259.0,0.1583011583011583,35.0,35.0,0.015500442869796282,0,1,0,347.0,0.1037463976945245,8.800000000000002,12,0,0,0,1,0,0,9L07-905936
